t;d;v_i;;v;v;;e_v
16,44;10,1;0,6143552311;0,614;0,7057938592;0,007057938592;0,00836102271;0,02162242594
15,50;;0,6516129032;0,652;;;0,002935575996;
17,42;;0,579793341;0,580;;;0,0158761306;
16,13;;0,6261624303;0,626;;;0,006341164484;
14,47;;0,6979958535;0,698;;;0,00006080889382;
14,90;;0,677852349;0,678;;;0,0007807279954;
12,93;;0,781129157;0,781;;;0,005675407087;
15,54;;0,6499356499;0,650;;;0,003120139548;
16,10;;0,6273291925;0,627;;;0,006156703921;
15,14;;0,6671070013;0,667;;;0,001496672976;
8,98;;1,124721604;1,125;;;0,175500455;
14,54;;0,6946354883;0,695;;;0,0001245092421;
13,92;;0,7255747126;0,726;;;0,000391282161;
9,26;;1,090712743;1,091;;;0,1481625471;
14,13;;0,7147912243;0,715;;;0,00008095257867;
17,75;;0,5690140845;0,569;;;0,01870870678;
14,23;;0,7097680956;0,710;;;0,00001579455435;
12,11;;0,8340214699;0,834;;;0,01644232012;
12,12;;0,8333333333;0,833;;;0,01626631745;
15,35;;0,657980456;0,658;;;0,002286121528;
18,39;;0,549211528;0,549;;;0,02451802646;
7,57;;1,334214003;1,334;;;0,3949118766;
14,98;;0,6742323097;0,674;;;0,000996131407;
21,54;;0,4688950789;0,469;;;0,05612103212;
18,13;;0,5570876999;0,557;;;0,02211352182;
15,24;;0,6627296588;0,663;;;0,001854525361;
14,81;;0,6819716408;0,682;;;0,0005674980926;
9,47;;1,066525871;1,067;;;0,1301275844;
14,66;;0,6889495225;0,689;;;0,0002837316802;
16,18;;0,6242274413;0,624;;;0,006653080539;
15,57;;0,6486833654;0,649;;;0,003261608502;
18,24;;0,5537280702;0,554;;;0,02312400421;
15,25;;0,662295082;0,662;;;0,001892143625;
15,47;;0,6528765352;0,653;;;0,002800243181;
15,61;;0,6470211403;0,647;;;0,003454232493;
16,15;;0,6253869969;0,625;;;0,006465263512;
14,31;;0,7058001398;0,706;;;0;
15,96;;0,6328320802;0,633;;;0,005323421202;
15,91;;0,6348208674;0,635;;;0,005037165575;
13,89;;0,7271418287;0,727;;;0,0004557357977;
15,56;;0,6491002571;0,649;;;0,003214164528;
15,61;;0,6470211403;0,647;;;0,003454232493;
15,31;;0,6596995428;0,660;;;0,002124686011;
14,31;;0,7058001398;0,706;;;0;
14,28;;0,7072829132;0,707;;;0,000002217281565;
13,82;;0,7308248915;0,731;;;0,0006265525736;
14,80;;0,6824324324;0,682;;;0,0005457562629;
16,08;;0,6281094527;0,628;;;0,006034867015;
13,33;;0,7576894224;0,758;;;0,00269314947;
12,70;;0,7952755906;0,795;;;0,008006980237;